Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Hourly,upd_salary,Company text,job_state
Data Scientist – Boston MA,"$106,261 /yr (est.)",4.2,"Merck
4.2","Boston, MA",10000+ Employees,-1,0,106261.0,Merck, MA
Jr. Data Scientist,"$86,021 /yr (est.)",-1.0,Tek Ninjas,"Dallas, TX",Unknown,-1,0,86021.0,Tek Ninjas, TX
Data Scientist/Meteorologist,"$140,000 /yr (est.)",-1.0,Sceye,"Moriarty, NM",1 to 50 Employees,Company - Private,0,140000.0,Sceye, NM
Data Scientist,$67.50 /hr (est.),3.5,"Largeton Inc
3.5",Remote,1 to 50 Employees,Company - Private,1,67.5,Largeton Inc,Remote
IT Data Scientist 15,"$200,000 /yr (est.)",3.8,"State of Michigan
3.8","Lansing, MI",10000+ Employees,-1,0,200000.0,State of Michigan, MI
Data Scientist,"$145,000 /yr (est.)",4.0,"LogRhythm
4.0","Denver, CO",501 to 1000 Employees,Company - Private,0,145000.0,LogRhythm, CO
AI Residency Program (University Grad),"$102,004 /yr (est.)",4.1,"Meta
4.1","New York, NY",10000+ Employees,-1,0,102004.0,Meta, NY
Data Scientist / Research Software Engineer (6104U) - 46408,"$113,000 /yr (est.)",4.3,"University of California Berkeley
4.3","Berkeley, CA",51 to 200 Employees,-1,0,113000.0,University of California Berkeley, CA
Atmospheric Data Scientist,"$83,250 /yr (est.)",4.2,"UC San Diego
4.2","San Diego, CA",10000+ Employees,-1,0,83250.0,UC San Diego, CA
Data & Applied Scientist,"$138,450 /yr (est.)",4.4,"Microsoft
4.4","Redmond, WA",10000+ Employees,-1,0,138450.0,Microsoft, WA
"Data Scientist, Marketing","$151,806 /yr (est.)",4.3,"KAYAK
4.3","Cambridge, MA",1001 to 5000 Employees,-1,0,151806.0,KAYAK, MA
Senior Data Scientist,"$129,536 /yr (est.)",3.2,"AMC Health
3.2","New York, NY",51 to 200 Employees,Company - Private,0,129536.0,AMC Health, NY
"Data Scientist, University Graduate (Global E-commerce Risk Control)- 2023 Start (MS)","$134,155 /yr (est.)",3.6,"TikTok
3.6","Seattle, WA",1001 to 5000 Employees,Company - Private,0,134155.0,TikTok, WA
Data Scientist,"$125,491 /yr (est.)",3.6,"National Security Agency
3.6","Fort Meade, MD",Unknown,-1,0,125491.0,National Security Agency, MD
Data Scientist,"$101,852 /yr (est.)",4.3,"Roche
4.3","Indianapolis, IN",5001 to 10000 Employees,-1,0,101852.0,Roche, IN
Data Scientist,"$106,856 /yr (est.)",2.0,"Northbeam
2.0","Denver, CO",1 to 50 Employees,Company - Private,0,106856.0,Northbeam, CO
Asst Staff - Signal & Data Processing,"$54,241 /yr (est.)",4.3,"MIT Lincoln Laboratory
4.3","Lexington, MA",1001 to 5000 Employees,-1,0,54241.0,MIT Lincoln Laboratory, MA
Embedded AI Processing Engineer,"$87,452 /yr (est.)",4.3,"MIT Lincoln Laboratory
4.3","Lexington, MA",1001 to 5000 Employees,-1,0,87452.0,MIT Lincoln Laboratory, MA
Data Scientist,$70.00 /hr (est.),5.0,"Hireups
5.0",Remote,1 to 50 Employees,-1,1,70.0,Hireups,Remote
Data Scientist - Role can be remote,"$106,661 /yr (est.)",4.3,"Mars
4.3","Chicago, IL",10000+ Employees,Company - Private,0,106661.0,Mars, IL
Scientist I - Neurophysiology Data Analysis,"$85,031 /yr (est.)",3.8,"Allen Institute
3.8","Seattle, WA",201 to 500 Employees,-1,0,85031.0,Allen Institute, WA
Data Scientist,"$111,421 /yr (est.)",3.6,"bluebird bio
3.6","Somerville, MA",1001 to 5000 Employees,-1,0,111421.0,bluebird bio, MA
Data Scientist,"$7,501 /mo (est.)",3.7,"City of Grand Junction, Colorado
3.7","Grand Junction, CO",201 to 500 Employees,-1,0,7501.0,"City of Grand Junction, Colorado", CO
Data Analyst,"$67,848 /yr (est.)",3.5,"BEN Group, Inc
3.5","Los Angeles, CA",201 to 500 Employees,Company - Private,0,67848.0,"BEN Group, Inc", CA
Principal Data Scientist,"$133,755 /yr (est.)",4.0,"Corteva Agriscience
4.0","Des Moines, IA",10000+ Employees,-1,0,133755.0,Corteva Agriscience, IA
Data Scientist,"$123,250 /yr (est.)",3.8,"The New York Times
3.8","New York, NY",1001 to 5000 Employees,-1,0,123250.0,The New York Times, NY
Data Scientist,"$95,536 /yr (est.)",4.0,"Steelcase
4.0","Grand Rapids, MI",10000+ Employees,-1,0,95536.0,Steelcase, MI
Jr. Data Scientist,"$78,285 /yr (est.)",3.1,"Primrose School Franchising Company
3.1","Atlanta, GA",10000+ Employees,-1,0,78285.0,Primrose School Franchising Company, GA
Data Scientist,$65.71 /hr (est.),-1.0,Pennsylvania Enterprise Private Limited,"Jackson, MS",1 to 50 Employees,Company - Private,1,65.71,Pennsylvania Enterprise Private Limited, MS
Artificial Intelligence Researcher,"$90,627 /yr (est.)",4.3,"MIT Lincoln Laboratory
4.3","Lexington, MA",1001 to 5000 Employees,-1,0,90627.0,MIT Lincoln Laboratory, MA
Data Scientist (Remote Option),"$85,000 /yr (est.)",4.4,"University of Michigan
4.4","Ann Arbor, MI",10000+ Employees,-1,0,85000.0,University of Michigan, MI
Data Scientist,"$117,526 /yr (est.)",3.9,"HotSchedules
3.9","Sofia, NM",201 to 500 Employees,Company - Private,0,117526.0,HotSchedules, NM
Data Scientist / Machine Learning Engineer,"$130,867 /yr (est.)",4.6,"Databricks
4.6","West, TX",1001 to 5000 Employees,Company - Private,0,130867.0,Databricks, TX
Data Scientist,"$105,772 /yr (est.)",4.5,"Apixio
4.5","San Diego, CA",51 to 200 Employees,Company - Private,0,105772.0,Apixio, CA
Data Scientist,"$162,500 /yr (est.)",3.8,"Verizon
3.8","New York, NY",10000+ Employees,-1,0,162500.0,Verizon, NY
Forensic Scientist Data Review I (NDOT),"$55,548 /yr (est.)",3.8,"Abbott Laboratories
3.8","Gretna, LA",10000+ Employees,-1,0,55548.0,Abbott Laboratories, LA
Data Scientist,"$109,952 /yr (est.)",4.5,"Coalition
4.5","San Francisco, CA",201 to 500 Employees,Company - Private,0,109952.0,Coalition, CA
Data Scientist,"$82,228 /yr (est.)",3.5,"Domino's Corporate
3.5","Ann Arbor, MI",10000+ Employees,-1,0,82228.0,Domino's Corporate, MI
Innovation Lead - Data Science & Innovation,"$106,422 /yr (est.)",4.3,"Novo Nordisk
4.3","Cambridge, MA",10000+ Employees,-1,0,106422.0,Novo Nordisk, MA
Data Scientist,"$135,093 /yr (est.)",-1.0,Snowrelic INC,Remote,Unknown,-1,0,135093.0,Snowrelic INC,Remote
